"","GSM239371.CEL.gz","GSM239487.CEL.gz","GSM239489.CEL.gz","GSM239492.CEL.gz","GSM239497.CEL.gz","GSM239520.CEL.gz","GSM240427.CEL.gz"
"212573_at",381.745337726904,452.023760418065,649.115246997474,317.039502123024,559.738974683152,395.603592985416,410.634871477141
"212574_x_at",355.216805406951,466.127346354429,379.095693644389,670.250928760149,494.240119871657,797.090179486242,794.976294177331
"212575_at",9.63528889834687,7.87696523264167,9.63721184063248,7.42957031574197,12.0716927538916,112.559654545906,80.3926492171986
"212576_at",752.28720568879,698.966776320768,889.636215429409,1115.5611776136,1038.12999954941,2551.27518738592,1239.07816649776
"212577_at",571.81931413356,471.678672046095,700.833087335132,1236.5349535367,1166.19039611381,619.352252930977,651.196613695946
"212578_x_at",33018.1944063312,19374.0414639387,34210.6111417128,23930.9853358922,40495.7175955833,13419.9781645844,20769.5179573029
"212579_at",274.363429808448,276.983480546959,376.074267010122,575.445197456402,469.123932281806,290.588876195534,238.007231023471
"212580_at",213.468323281932,170.760219542726,207.018915470945,227.674835350768,206.529812062962,124.660137644095,132.268278439158
"212581_x_at",36861.8772373945,25832.9590165066,39526.7025820261,30491.5589486792,38747.9744249076,19600.7993188399,39907.666858268
"212582_at",2566.61357347924,2658.33842504924,1481.69331945125,1958.04205690753,1577.93867126805,2464.89291948396,1243.28469432831
"212583_at",136.203729378016,66.0038681189483,119.05225184165,190.948359246157,41.276713667478,187.221147177455,206.471794796148
"212584_at",773.086470895804,994.024368562986,672.190965697787,1053.00044059982,1347.00137886195,800.663500738342,979.078255763893
"212585_at",806.58669789535,881.745334542032,668.234654188479,970.086092473718,617.935354191482,1596.24675040669,876.00826403181
"212586_at",1205.25729389341,2636.59880846506,1158.27065063056,644.896653369171,964.487078096287,2519.13675284016,1412.65256460948
"212587_s_at",1983.23140722348,1007.93958948572,881.255723487749,1054.35681508405,3010.1305336602,1024.27857611258,1014.32473825152
"212588_at",3035.22609432685,1919.10984495649,1851.45877021667,2752.53879052777,3050.89757723995,2676.54795893204,1749.04842317847
"212589_at",10.3682627007306,39.3216928117747,10.9854088403247,80.8206313319697,10.8173926854412,73.4766608728825,112.286996919773
"212590_at",194.922511322296,115.776081799366,299.280812618709,168.152117328462,267.971956206326,142.64025697,226.482731992848
"212591_at",1291.76792999988,1262.12988457795,832.879683026785,1464.58275875181,796.436040763318,775.642431399724,936.402742763496
"212592_at",441.457168089779,105.612885637559,478.144185583985,918.377076161925,127.544529466711,22.9897664192517,202.792523184884
"212593_s_at",2407.76658039567,2619.6827275425,933.955328497251,1088.76649146588,2138.49490413213,1059.33463259908,848.899379076586
"212594_at",524.783081751967,325.01980377586,387.174709022848,573.250594829683,470.37350736469,174.92006448592,172.086776500767
"212595_s_at",3955.73519948998,4376.62634136081,2831.5787632627,4049.02146317864,2364.03161638044,3465.48709359501,4680.39434950691
"212596_s_at",1767.17007645776,839.322964978518,1023.29390854926,859.453288119393,773.279191573834,1027.92167794397,1295.83830917908
"212597_s_at",637.959704380749,354.521767850496,488.462518182895,402.962036289943,391.05884276743,643.206973296216,541.90576937743
"212598_at",16.1468688352533,13.8263822100036,14.7193570130597,13.5154082533672,21.3293750831685,152.298985851279,26.0114320157698
"212599_at",379.83127271171,157.413086428397,251.849800850405,563.856402893338,165.963751126584,475.617367670151,436.537918053744
"212600_s_at",3933.40568296129,4693.06289457461,2655.81884044807,4354.21745956256,3927.4603745028,4310.81640990861,1760.91052614741
"212601_at",438.098331605185,426.210763543897,437.65843635043,796.51647704238,603.591836396939,320.32535392181,631.67094699886
"212602_at",88.1947752334657,273.694364309754,147.579933957632,121.681869818838,300.323129455315,433.549109456688,350.697156878922
"212603_at",271.998065348672,311.296790431628,47.3567452462482,496.374674949033,469.453328069901,317.806637048959,334.899285808056
"212604_at",520.927574085605,573.444593883326,290.022168230187,818.47102458461,520.88677950518,498.930286102381,457.01381659833
"212605_s_at",1183.59133566888,748.583349967559,578.343746220612,807.713204472172,341.334516549207,865.276744670558,984.342711090325
"212606_at",87.7686112094314,163.638645076196,22.0419527285907,114.651124596037,122.358638786613,315.274222450867,296.74667683796
"212607_at",284.057203352663,1082.07843858283,676.251673960776,575.658519045796,810.211224133469,448.367117330159,432.830900671982
"212608_s_at",1505.9858445801,779.362762613385,1289.85864373922,955.059631640399,486.570251444968,976.336595446445,1487.00568748466
"212609_s_at",26.8784052247669,440.10944234467,78.9133983015216,121.064785727376,215.73825743132,131.712749780978,20.0119057706883
"212610_at",1538.44966382443,1547.53423000636,1017.79056546588,1631.02328031212,937.069882629589,1532.85219659994,1039.83813192224
"212611_at",390.222586353997,455.550468805603,869.126166332398,393.817316733328,938.20801529643,441.586961892635,1179.368890934
"212612_at",463.752330731432,844.109645673146,712.553834559092,665.842556302081,589.589232474114,833.198746785474,573.135632144948
"212613_at",41.5783427802352,21.9760735210608,43.767017325767,150.615868200836,129.621396989709,174.857022645543,21.4254206608042
"212614_at",279.219498670071,182.066372937698,301.825659203956,411.320377107895,350.298751315557,149.836982335861,514.483850186713
