"","GSM239323.CEL.gz","GSM239324.CEL.gz","GSM239326.CEL.gz","GSM239328.CEL.gz","GSM239329.CEL.gz","GSM239331.CEL.gz","GSM239332.CEL.gz","GSM239333.CEL.gz","GSM239334.CEL.gz","GSM239335.CEL.gz"
"211675_s_at",1409.18487462424,1222.93112279103,1788.76488280213,1965.53539216657,895.284208927275,768.681428749869,1106.60625709642,1193.09685082872,1095.9294460414,1457.77818986099
"211676_s_at",1995.97653910656,2150.55847147433,1585.69621974986,2054.05063119112,1068.34974614973,1843.60605907774,1778.73758812176,1517.58681947985,1914.14217371078,1402.86182446198
"211677_x_at",48.8797749424074,76.3801409849288,72.335586318346,79.0678433209721,52.6648693233698,33.042975879339,37.6393477169391,46.2222097275892,110.745133848777,97.2302332440364
"211678_s_at",1073.37863305918,1088.61726430544,1299.36906601717,1246.26891363524,1153.84543425574,926.827212977735,1025.53018270388,1068.11814663118,939.194949374413,999.930460964589
"211679_x_at",229.151406587115,146.660678467994,77.8836938913602,65.0669042017771,118.314102964359,89.4441327669209,34.5739586326005,50.6761216005468,98.9656948912459,76.3895388510093
"211680_at",3.19567534627597,12.4373788954922,2.11990985191976,50.0662936888156,35.6513100488077,25.2008213130297,33.348102246669,10.3153344062657,6.90191049996207,51.8949666399125
"211681_s_at",490.71797745339,448.432430381292,338.635938446239,383.423150910848,348.097967980923,230.192081643089,286.337833091597,352.243778479331,477.933654301339,487.634616462437
"211682_x_at",107.442426130352,11.0033349753773,24.6226999680204,15.1002118143427,37.8894262357991,32.2224073265065,78.512740094314,30.8731080421337,54.9578606264723,23.1709939869219
"211684_s_at",1492.56409882206,1561.64908559501,1851.04210315835,1445.97452110606,1068.30028897516,1298.19143440532,1000.90481924315,1218.37402171475,1369.02558388563,1458.86138384448
"211685_s_at",404.855787116706,313.761236820104,365.679034307219,244.151143958969,252.159608464194,218.298038686596,246.222016623847,373.422245828899,264.406304090949,289.908609004973
"211686_s_at",895.345982513429,680.913380718161,600.31744140695,612.082897367951,725.209558975241,673.672893920954,695.298631673089,794.48847339923,543.138708569084,784.579501761275
"211687_x_at",262.475992141645,302.720957960543,199.45451706463,112.879065933786,151.745433104099,111.385817342146,239.977045058893,225.009600381472,491.032668956128,296.083332726152
"211688_x_at",155.674257687397,161.107077772,103.113187457569,67.9262049334247,47.2495308273285,79.3100273686135,52.3113547933637,345.491350873019,243.814359409127,199.176841699407
"211689_s_at",7.56412915441211,5.04243849719986,5.4552113556423,7.95061974576417,7.14226575144752,5.53942187685808,12.0638122107907,7.72038906800805,7.48820725671892,5.50503503603327
"211690_at",32.1598616871951,51.1435061101609,18.3288695601282,12.7754202941055,17.3129180817901,20.2662981908092,17.9861186849155,17.8272467904213,12.8552826906211,9.73806285058706
"211691_x_at",419.098316194619,205.422754724751,259.226580815598,249.693162361769,223.947667905018,299.571552318206,296.220132392131,313.489843667602,298.625308984388,155.635053348265
"211692_s_at",410.574099504404,348.024739795676,307.397985973356,340.102137128434,368.235099568444,353.381273364139,314.796978496587,410.250497655239,337.934906169312,309.824738851894
"211693_at",137.436969295055,158.095471600791,112.401628644556,90.9513609574569,158.859515247124,184.62917020276,230.277054563028,133.592032468358,78.2921732673381,100.273061846307
"211694_at",13.3409819945444,3.71417061120661,3.96471223936559,8.38494699338777,10.6845311696487,7.15821507050429,4.85653684221571,16.1272817406449,15.2702873668629,6.02304312494282
